ID1 *,Latitude,Longitude,WaterDepth_Min,WaterDepth_Max,WaterDepth_Notes,TotalLength_Lt,DepositLength_Ld,EvacuatedLength_Le,LengthNotes,ScarpPerimeterLength_Ls,ScarpHeight_Hs,EvacuatedHeight_He,ScarpWidth_Ws,ScarpSurfaceNature,Scarp_Notes,MaxDepositWidth_Wd,MaxDepositThickness_Tdmax_m,MaxDepositThickness_TWTT_Tdmax,MaxUnconfinedDepositThickness_Tumax_m,MaxUnconfinedDepositThickness_TWTT_Tumax,ThicknessNotes,Deposit_Notes,TotalHeightDrop_Ht,SlopeGradient_S,SlopeGradientNotes,SlopeGradientHeadscarp_Ss,SlopeGradientHeadscarpNotes,SlopeGradientToe_St,SlopeGradientToeNotes,OBJECTID_12__
54,48.035251,-53.383104,-140.119,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,54
55,48.077584,-53.342375,-127.576,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,55
56,48.077584,-53.342375,-127.576,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,56
57,45.45294,-52.313969,-99.032,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,57
58,53.379508,-53.379508,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,58
59,53.388246,-53.388246,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,59
60,53.489459,-53.489459,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,60
61,53.609716,-53.609716,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,61
62,49.652119,-124.928149,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,62
63,49.648807,-124.918694,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,63
64,49.642022,-124.879703,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,64
65,49.622409,-124.860676,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,65
66,49.650405,-124.842552,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,66
67,49.467519,-124.740741,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,67
68,49.456998,-124.043871,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,68
69,49.292794,-124.007355,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,69
70,49.768874,-124.456606,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,70
71,49.093629,-123.348272,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,71
72,49.1293,-123.322624,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,72
73,49.02351,-123.271055,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,73
74,49.05011,-123.33807,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,74
75,48.997495,-123.202463,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,75
76,48.968546,-123.089545,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,76
77,49.341894,-123.983095,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,77
78,49.340354,-123.975921,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,78
79,49.434243,-124.089498,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,79
80,49.363758,-123.752295,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,80
81,49.34932,-123.724949,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,81
82,49.37507,-123.553771,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,82
83,49.388922,-123.574904,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,83
84,49.364672,-123.8723,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,84
85,49.984158,-125.093402,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,85
86,50.011762,-125.124087,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,86
87,50.020889,-125.139446,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,87
88,50.043847,-125.157389,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,88
89,50.370077,-124.958156,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,89
90,50.166781,-123.915741,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,90
91,49.886791,-123.882547,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,91
92,49.879631,-123.878642,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,92
93,49.847524,-123.884675,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,93
94,49.436527,-123.736503,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,94
95,49.692139,-124.675841,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,95
96,49.795595,-124.02032,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,96
97,49.917311,-125.017554,0,0,,0,0,0,,0,0,0,0,,,0,0,0,,,,,0,0,,0,,0,,97
