90,,Canada West Coast_29,,FALSE,,0,,,Good example of a translational slide ,Translational slide
91,,Canada West Coast_30,,FALSE,,0,,,,Fan delta
92,,Canada West Coast_31,,FALSE,,0,,,,Fan delta
93,,Canada West Coast_32,,FALSE,,0,,,,Fan delta
94,,Canada West Coast_33,,FALSE,,0,,,Debris flows and channels,"Debris flow and turbidity current channels, gullies and lobes"
95,,Canada West Coast_34,,FALSE,,0,,,,Translational slide
96,,Canada West Coast_35,,FALSE,,0,,,Large slide,Translational slide
97,,Canada West Coast_36,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
98,,Canada West Coast_37,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
99,,Canada West Coast_38,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
100,,Canada West Coast_39,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
101,,Canada West Coast_40,,FALSE,,0,,,,"Debris flow and turbidity current channels, gullies and lobes"
102,,Canada West Coast_41,,FALSE,,0,,,There is a low angle outrun,Submarine alluvial fan/composite slide
103,,Canada West Coast_42,,FALSE,,0,,,,Submarine alluvial fan/composite slide
104,,Canada West Coast_43,,FALSE,,0,,,,Submarine alluvial fan/composite slide
105,,Canada West Coast_44,,FALSE,,0,,,Small fan delta ,Fan delta
106,,Canada West Coast_45,,FALSE,,0,,,Small fan delta ,Fan delta
107,,Canada West Coast_46,,FALSE,,0,,,Medium fan delta,Fan delta
108,,Canada West Coast_47,,FALSE,,0,,,,Submarine alluvial fan/composite slide
109,,Canada West Coast_48,,FALSE,,0,,,,Translational slide
110,,Canada West Coast_49,,FALSE,,0,,,There are several slides in this area,Undifferentiated slide
111,,Canada West Coast_50,,FALSE,,0,,,,Fan delta
112,,Canada West Coast_51,,FALSE,,0,,,,Fan delta
113,,Canada West Coast_52,,FALSE,,0,,,A large slides is exposed at base,Fan delta
114,,Canada West Coast_53,,FALSE,,0,,,,Fan delta
115,,Canada West Coast_54,,FALSE,,0,,,Some coarse debris,Fan delta
